,time,G0-A_qload,G0-A_pload,G0-M_qload,G0-M_pload,G3-A_qload,G3-A_pload,G3-M_qload,G3-M_pload,L0-A_qload,L0-A_pload,L2-M_qload,L2-M_pload,lv_rural1_qload,lv_rural1_pload,lv_rural2_qload,lv_rural2_pload,lv_rural3_qload,lv_rural3_pload,lv_semiurb4_pload,lv_semiurb4_qload
57,03.01.2016 09:00,0.308227,0.145506,0.366555,0.25,0.266729,0.39973200000000003,0.44719899999999996,0.462016,0.784802,0.533499,0.30725399999999997,0.206137,0.449479,0.44260600000000005,0.035664999999999995,0.13378800000000002,0.008278,0.12150799999999999,0.150322,0.083049
58,03.01.2016 10:00,0.376722,0.184488,0.447651,0.276923,0.21155500000000002,0.35786,0.219676,0.41085299999999997,0.7157399999999999,0.461538,0.29632,0.201383,0.498522,0.610375,0.06763,0.186109,0.043275,0.187113,0.205235,0.075889
59,03.01.2016 11:00,0.299665,0.154034,0.360067,0.24743600000000002,0.21595599999999998,0.36120399999999997,0.23144499999999998,0.393798,0.408097,0.36228299999999997,0.30397399999999997,0.238116,0.501979,0.536872,0.052917,0.176347,0.032626999999999996,0.178068,0.18649300000000002,0.080218
60,03.01.2016 12:00,0.342475,0.17596099999999998,0.402237,0.266667,0.186169,0.346221,0.258904,0.426357,0.332756,0.32506199999999996,0.311628,0.23120100000000002,0.487868,0.48905699999999996,0.054804,0.20077899999999999,0.040182,0.198274,0.229604,0.065571
61,03.01.2016 13:00,0.286994,0.140498,0.415213,0.266667,0.236942,0.419799,0.211831,0.39845,0.32019899999999996,0.315136,0.295227,0.24200500000000003,0.48376899999999995,0.403568,0.083941,0.175475,0.067774,0.160849,0.198198,0.117729
62,03.01.2016 14:00,0.342475,0.170953,0.415213,0.266667,0.207494,0.351171,0.215754,0.39845,0.370427,0.35731999999999997,0.320376,0.229473,0.487487,0.45574,0.230001,0.267403,0.270464,0.293518,0.21672199999999997,0.10498800000000001
63,03.01.2016 15:00,0.308227,0.15904200000000002,0.37304299999999996,0.248718,0.177707,0.319465,0.192217,0.362791,0.458325,0.349876,0.278825,0.22688000000000003,0.348798,0.314205,0.06891599999999999,0.246804,0.054584,0.265435,0.249552,0.098363
64,03.01.2016 16:00,0.364051,0.184488,0.44116400000000006,0.274359,0.266729,0.397993,0.211831,0.390698,0.458325,0.315136,0.30725399999999997,0.23941199999999999,0.31114899999999995,0.289667,0.027781999999999998,0.236008,-0.002199,0.24800500000000003,0.241259,0.051026
65,03.01.2016 17:00,0.265418,0.13373,0.408725,0.260256,0.165182,0.364548,0.345206,0.44496099999999994,0.590171,0.444169,0.325843,0.24503000000000003,0.380802,0.339887,0.183739,0.292075,0.218138,0.312739,0.285454,0.15718900000000002
66,03.01.2016 18:00,0.329803,0.164185,0.450895,0.276923,0.258267,0.403077,0.345206,0.46046499999999996,0.75341,0.42928,0.33568400000000004,0.26879899999999995,0.509813,0.685409,0.087112,0.2678,0.073396,0.277665,0.24179099999999998,0.099162
67,03.01.2016 19:00,0.329803,0.164185,0.457383,0.279487,0.165182,0.40133800000000003,0.325592,0.41395299999999996,0.7596890000000001,0.35980100000000004,0.30725399999999997,0.279602,0.49262100000000003,0.497802,0.050686,0.261181,0.031111,0.266219,0.254852,0.069524
68,03.01.2016 20:00,0.346927,0.167569,0.428188,0.26410300000000003,0.24980500000000003,0.393043,0.333438,0.437209,0.709461,0.349876,0.312722,0.270095,0.537716,0.48031999999999997,0.09072899999999999,0.23564899999999997,0.073117,0.23402199999999998,0.24055100000000001,0.111045
69,03.01.2016 21:00,0.304117,0.15065,0.450895,0.27820500000000004,0.169244,0.347826,0.329515,0.41395299999999996,0.552501,0.272953,0.27773200000000003,0.23638699999999999,0.532043,0.499935,0.031519,0.22883699999999998,0.014025,0.234388,0.221052,0.05524199999999999
70,03.01.2016 22:00,0.338365,0.177721,0.450895,0.273077,0.220018,0.372977,0.33736,0.424806,0.389262,0.282878,0.29304,0.22083000000000003,0.422538,0.33504,0.07876699999999999,0.177649,0.061839,0.164273,0.196385,0.07718799999999999
71,03.01.2016 23:00,0.333913,0.177721,0.04217,0.18717899999999998,0.220018,0.416455,0.278518,0.420155,0.339035,0.218362,0.2996,0.209594,0.295016,0.218565,0.040364,0.15464,0.017358000000000002,0.140389,0.16567,0.075712
72,04.01.2016 00:00,0.351036,0.177721,0.097315,0.210256,0.169244,0.301003,0.270673,0.392248,0.251137,0.171216,0.278825,0.20484000000000002,0.328244,0.204571,0.07897699999999999,0.116034,0.074464,0.100409,0.14518499999999998,0.071497
73,04.01.2016 01:00,0.329803,0.15904200000000002,0.016219,0.17948699999999998,0.194631,0.371237,0.26675,0.40155,0.200909,0.151365,0.326936,0.212619,0.313458,0.180238,0.08175700000000001,0.118725,0.078685,0.10511400000000001,0.14541400000000002,0.072525
74,04.01.2016 02:00,0.346927,0.172577,0.022706999999999998,0.180769,0.16078199999999998,0.292709,0.282441,0.39845,0.200909,0.183623,0.074353,0.140017,0.267985,0.164997,0.039539,0.104002,0.028917,0.10319400000000001,0.10608,0.058697000000000006
75,04.01.2016 03:00,0.312679,0.169193,0.045413999999999996,0.185897,0.101547,0.296054,0.25105900000000003,0.38759699999999997,0.188353,0.20843699999999998,0.097315,0.149525,0.307963,0.175243,0.03588,0.07967,0.028916000000000004,0.075503,0.094972,0.046658
76,04.01.2016 04:00,0.329803,0.17596099999999998,0.045413999999999996,0.19359,0.258267,0.327759,0.262827,0.393798,0.257415,0.20595500000000003,0.099502,0.153846,0.26421100000000003,0.15721300000000002,0.024526,0.077266,0.006476999999999999,0.06804600000000001,0.09789199999999999,0.029322000000000004
77,04.01.2016 05:00,0.26987,0.14889000000000002,0.055145000000000007,0.188462,0.186169,0.277592,0.25498200000000004,0.39845,0.295086,0.220844,0.101689,0.154278,0.269611,0.165918,0.05828099999999999,0.073285,0.052172,0.066737,0.09651599999999999,0.053600999999999996
